,company name,job_title,Location,Estimated salary,posted,rating,link
41,Level AI,"Machine Learning Engineer - NLP (Remote, India)",India,Unrevealed,11d,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_28ab990d&cb=1681829928663&jobListingId=1008573698243&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-bdcf846edc055ab8-
42,Wesco,(India-Bangalore) Data Scientist,Bangalore,₹7L - ₹10L (Glassdoor Est.),6d,3.6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_98c8860b&cb=1681829928663&jobListingId=1008583311747&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-65776cf0aee9c50c-
43,Ericsson,Data Scientist,Noida,₹5L - ₹9L (Glassdoor Est.),6d,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_ed04e1bb&cb=1681829928664&jobListingId=1008583788494&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-729e954093be38be-
44,Transorg Analytics,Data Science Specialist,Gurgaon,₹8L - ₹10L (Glassdoor Est.),30d+,2.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_268624e2&cb=1681829928668&jobListingId=1008430558926&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-a437407f123ce746-
45,Cognizant,Data Scientist,Pune,₹3L - ₹7L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_76cb6cf1&cb=1681829928664&jobListingId=1008545451313&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-0431a2b38c213af3-
46,SourceFuse Technologies,ML Engineer (Generative AI),Hyderābād,₹2L (Employer Est.),1 day ago,4.2,https://www.glassdoor.co.in/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8d1f29a5&cb=1681829928664&jobListingId=1008592438631&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-8efb2a8d214e3f43-
47,Webtunix AI,Data Scientist,India,Unrevealed,22d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=218&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_16ae6779&cb=1681829928664&jobListingId=1008551385227&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-57079825e630e7a4-
48,iCRC,Data Scientist,Noida,₹6L - ₹10L (Glassdoor Est.),4d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_0171dee4&cb=1681829928664&jobListingId=1008586752495&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-575f5e7cbd8797c2-
49,CoRover,Data Scientist,Bangalore,₹3L - ₹6L (Glassdoor Est.),13d,5.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_69e29644&cb=1681829928665&jobListingId=1008570354875&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-7b11c591922a4fdd-
50,OpenTeams,Data Scientist,Chennai,₹4L - ₹10L (Glassdoor Est.),24h,4.6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_07cac144&cb=1681829928665&jobListingId=1008593019978&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-8bdd4801dc8fda91-
51,SparkTG Info,Machine Learning Engineer,Noida,Unrevealed,24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e28332a&cb=1681829928665&jobListingId=1008592880595&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-d4deb07360447d38-
52,Agrex Technologies Private Limited,Deep Learning Intern,India,₹15T - ₹30T (Employer Est.),13d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41c07fbb&cb=1681829928665&jobListingId=1008570569836&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-f5ca46573937728c-
53,Applogic IT Solutions India Pvt Ltd,Data Scientist,Hyderābād,₹4L - ₹6L (Employer Est.),12d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d6d1c6cd&cb=1681829928665&jobListingId=1008572861142&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-7899c39295adc225-
54,Screatives Software Services Private Limited,Data Scientist,Bangalore,₹6L - ₹23L (Employer Est.),5d,4.6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a19af511&cb=1681829928665&jobListingId=1008586202513&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-089f6249dfda3871-
55,PayU,Data Scientist - MA,India,Unrevealed,30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2288de9b&cb=1681829928665&jobListingId=1008002010888&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-05929ec77ca279ff-
